loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.84,150.48602294921875,1.8951781970649896e-05,0.10482180293501048,50,,,,,,,,,,,,,
0.6222,22.764801025390625,1.790356394129979e-05,0.20964360587002095,100,,,,,,,,,,,,,
0.5305,46.093223571777344,1.685534591194969e-05,0.31446540880503143,150,,,,,,,,,,,,,
0.4908,117.37490844726562,1.5807127882599583e-05,0.4192872117400419,200,,,,,,,,,,,,,
0.3624,45.60714340209961,1.4758909853249476e-05,0.5241090146750524,250,,,,,,,,,,,,,
0.4566,18.62163734436035,1.371069182389937e-05,0.6289308176100629,300,,,,,,,,,,,,,
0.4759,22.30381202697754,1.2662473794549269e-05,0.7337526205450734,350,,,,,,,,,,,,,
0.4174,28.31842803955078,1.1614255765199163e-05,0.8385744234800838,400,,,,,,,,,,,,,
0.3326,47.93984603881836,1.0566037735849058e-05,0.9433962264150944,450,,,,,,,,,,,,,
,,,1.0,477,0.40636545419692993,0.8563941299790356,0.8884918366050442,0.8563941299790356,0.8659547032376501,4.6691,204.322,12.85,,,,,
0.3455,11.901302337646484,9.517819706498952e-06,1.0482180293501049,500,,,,,,,,,,,,,
0.3684,22.262096405029297,8.469601677148847e-06,1.1530398322851152,550,,,,,,,,,,,,,
0.3052,13.541437149047852,7.421383647798742e-06,1.2578616352201257,600,,,,,,,,,,,,,
0.3111,6.3663249015808105,6.373165618448638e-06,1.3626834381551363,650,,,,,,,,,,,,,
0.3692,21.70658302307129,5.324947589098532e-06,1.4675052410901468,700,,,,,,,,,,,,,
0.3718,22.913227081298828,4.276729559748428e-06,1.5723270440251573,750,,,,,,,,,,,,,
0.2656,30.137907028198242,3.2285115303983234e-06,1.6771488469601676,800,,,,,,,,,,,,,
0.3133,38.13081359863281,2.1802935010482183e-06,1.7819706498951782,850,,,,,,,,,,,,,
0.2701,12.24980354309082,1.1320754716981133e-06,1.8867924528301887,900,,,,,,,,,,,,,
0.2782,40.95841598510742,8.385744234800839e-08,1.991614255765199,950,,,,,,,,,,,,,
,,,2.0,954,0.3516504466533661,0.8710691823899371,0.8727142622021329,0.8710691823899371,0.8718530810375477,4.6864,203.569,12.803,,,,,
,,,2.0,954,,,,,,,,,118.5298,64.321,8.049,45554284627968.0,0.40697927569943154
,,,2.0,954,0.3516504466533661,0.8710691823899371,0.8727142622021329,0.8710691823899371,0.8718530810375477,4.6257,206.239,12.971,,,,,
